freq/GHz,attenuation/km**-1
0.1,1.000087502
0.2,1.000322414
0.3,1.000621891
0.4,1.001013651
0.5,1.001382506
0.7,1.002028329
1,1.002766923
1.5,1.003228821
2,1.003690931
3,1.003922066
4,1.004153254
5,1.00461579
6,1.004847138
7,1.004847138
10,1.005541502
12,1.006931669
15,1.01227847
20,1.091440336
24,1.076465214
28,1.047128548
32,1.042317429
36,1.047128548
40,1.059253725
45,1.096478196
50,1.148153621
55,39.81071706
59,1584.893192
62,100
65,2.511886432
70,1.318256739
75,1.230268771
80,1.202264435
90,1.202264435
100,1.235947433
110,1.513561248
120,2.398832919
150,2.818382931
180,100
190,1000000
200,251.1886432
220,19.95262315
240,12.58925412
260,15.84893192
280,31.6227766
300,100
320,3981071.706
350,251.1886432
370,63.09573445
400,79.43282347
